supplier,supplier_sku,mpn,manufacturer,title,category,description,attributes,datasheet_url,stock,price
Mouser,MOU-100-00000,MCU10000000,AcmeSemi,AcmeSemi MCU10000000 Microcontroller,Microcontroller,MCU10000000 Microcontroller from AcmeSemi. Sourced via professional procurement support; specs below.,package: LQFP-48; io_count: 48,https://example.com/datasheet/MCU10000000.pdf,1647,14.5058
HQEW,HQE-100-00001,MOS10000001,ON Semiconductor,ON Semiconductor MOS10000001 MOSFET,MOSFET,MOS10000001 MOSFET from ON Semiconductor. Sourced via professional procurement support; specs below.,vgs_th_v: 2.5; qg_nc: 45; vds_v: 55,https://example.com/datasheet/MOS10000001.pdf,2053,22.7661
HQEW,HQE-100-00002,RES10000002,OhmWorks,OhmWorks RES10000002 Resistor,Resistor,RES10000002 Resistor from OhmWorks. Sourced via professional procurement support; specs below.,power_rating_w: 0.25; resistance_ohm: 10000; temperature_coeff: X7R,https://example.com/datasheet/RES10000002.pdf,1562,2.0437
Mouser,MOU-100-00003,CAP10000003,Murata Manufacturing,Murata Manufacturing CAP10000003 Capacitor,Capacitor,CAP10000003 Capacitor from Murata Manufacturing. Sourced via professional procurement support; specs below.,voltage_rating_v: 50; temperature_coeff: X7R; tolerance: ±10%; package: 0603,https://example.com/datasheet/CAP10000003.pdf,893,3.1876
LCSC,LCS-100-00004,IND10000004,TDK Corporation,TDK Corporation IND10000004 Inductor,Inductor,IND10000004 Inductor from TDK Corporation. Sourced via professional procurement support; specs below.,current_rating_a: 1.5; package: 0805,https://example.com/datasheet/IND10000004.pdf,3245,1.8725
Hanxin,HAN-100-00005,SEN10000005,STMicroelectronics,STMicroelectronics SEN10000005 Sensors,Sensors,SEN10000005 Sensors from STMicroelectronics. Sourced via professional procurement support; specs below.,sensitivity: 260 LSB/g; range: 0-40; resolution_bits: 12; interface: I2C,https://example.com/datasheet/SEN10000005.pdf,4216,13.9580
Digikey,DIG-100-00006,CON10000006,TE Connectivity,TE Connectivity CON10000006 Connectors,Connectors,CON10000006 Connectors from TE Connectivity. Sourced via professional procurement support; specs below.,current_rating_a: 3; mounting: SMD,https://example.com/datasheet/CON10000006.pdf,424,7.5033
HQEW,HQE-100-00007,MOD10000007,Quectel,Quectel MOD10000007 Modules,Modules,MOD10000007 Modules from Quectel. Sourced via professional procurement support; specs below.,interface: UART; sensitivity_dbm: -95; output_power_dbm: 20,https://example.com/datasheet/MOD10000007.pdf,4815,12.4358
LCSC,LCS-100-00008,OPA10000008,Silicon Labs,Silicon Labs OPA10000008 Analog IC,Analog IC,OPA10000008 Analog IC from Silicon Labs. Sourced via professional procurement support; specs below.,package: SOIC-8; supply_current_ua: 200; bandwidth_hz: 1000000; gain_db: 100,https://example.com/datasheet/OPA10000008.pdf,186,16.6873
Digikey,DIG-100-00009,PMIC10000009,PowerLite,PowerLite PMIC10000009 Power Management IC,Power Management IC,PMIC10000009 Power Management IC from PowerLite. Sourced via professional procurement support; specs below.,voltage_in_min_v: 4.5; package: SOT-23; voltage_in_max_v: 28; voltage_out_v: 5,https://example.com/datasheet/PMIC10000009.pdf,3168,19.6943
Mouser,MOU-100-00010,DIO10000010,RectFab,RectFab DIO10000010 Diode,Diode,DIO10000010 Diode from RectFab. Sourced via professional procurement support; specs below.,vf_v: 0.7; vrrm_v: 100; if_a: 1,https://example.com/datasheet/DIO10000010.pdf,3797,15.3107
