supplier,supplier_sku,mpn,manufacturer,title,category,description,attributes,datasheet_url,stock,price
Digikey,DIG-1000-00000,MCU100000000,STMicroelectronics,STMicroelectronics MCU100000000 Microcontroller,Microcontroller,MCU100000000 Microcontroller from STMicroelectronics. Sourced via professional procurement support; specs below.,flash_bytes: 131072; voltage_v: 3.3; frequency_hz: 72000000,https://example.com/datasheet/MCU100000000.pdf,719,7.7140
HQEW,HQE-1000-00001,MOS100000001,Vishay Intertechnology,Vishay Intertechnology MOS100000001 MOSFET,MOSFET,MOS100000001 MOSFET from Vishay Intertechnology. Sourced via professional procurement support; specs below.,vds_v: 55; Continuous Drain Current: 30A,https://example.com/datasheet/MOS100000001.pdf,1581,14.9942
Mouser,MOU-1000-00002,RES100000002,Yageo,Yageo RES100000002 Resistor,Resistor,RES100000002 Resistor from Yageo. Sourced via professional procurement support; specs below.,resistance_ohm: 10000; temperature_coeff: X7R; MTBF Hours: 100000,https://example.com/datasheet/RES100000002.pdf,963,17.9312
Digikey,DIG-1000-00003,CAP100000003,TDK Corporation,TDK Corporation CAP100000003 Capacitor,Capacitor,CAP100000003 Capacitor from TDK Corporation. Sourced via professional procurement support; specs below.,voltage_rating_v: 50; package: 0603; capacitance_pf: 100000; tolerance: ±10%; Ripple Current: 100mA,https://example.com/datasheet/CAP100000003.pdf,3446,4.0417
Hanxin,HAN-1000-00004,IND100000004,Bourns,Bourns IND100000004 Inductor,Inductor,IND100000004 Inductor from Bourns. Sourced via professional procurement support; specs below.,current_rating_a: 1.5; inductance_uh: 4.7,https://example.com/datasheet/IND100000004.pdf,3655,0.4770
Hanxin,HAN-1000-00005,SEN100000005,STMicroelectronics,STMicroelectronics SEN100000005 Sensors,Sensors,SEN100000005 Sensors from STMicroelectronics. Sourced via professional procurement support; specs below.,sensitivity: 260 LSB/g; accuracy: ±0.5; range: 0-40; resolution_bits: 12; interface: I2C,https://example.com/datasheet/SEN100000005.pdf,2317,21.9401
Mouser,MOU-1000-00006,CON100000006,TE Connectivity,TE Connectivity CON100000006 Connectors,Connectors,CON100000006 Connectors from TE Connectivity. Sourced via professional procurement support; specs below.,current_rating_a: 3; pitch_mm: 2.54; voltage_rating_v: 50; positions: 40,https://example.com/datasheet/CON100000006.pdf,2335,7.4603
HQEW,HQE-1000-00007,MOD100000007,u-blox,u-blox MOD100000007 Modules,Modules,MOD100000007 Modules from u-blox. Sourced via professional procurement support; specs below.,data_rate_bps: 2000000; sensitivity_dbm: -95; interface: UART; Antenna Type: PCB,https://example.com/datasheet/MOD100000007.pdf,4417,3.5414
Hanxin,HAN-1000-00008,OPA100000008,Analog Devices,Analog Devices OPA100000008 Analog IC,Analog IC,OPA100000008 Analog IC from Analog Devices. Sourced via professional procurement support; specs below.,gain_db: 100; supply_current_ua: 200,https://example.com/datasheet/OPA100000008.pdf,4861,16.7093
Hanxin,HAN-1000-00009,PMIC100000009,Richtek Technology,Richtek Technology PMIC100000009 Power Management IC,Power Management IC,PMIC100000009 Power Management IC from Richtek Technology. Sourced via professional procurement support; specs below.,output_current_a: 3; voltage_in_max_v: 28; efficiency_percent: 92; voltage_in_min_v: 4.5; package: SOT-23,https://example.com/datasheet/PMIC100000009.pdf,3410,19.0973
Mouser,MOU-1000-00010,DIO100000010,Diodes Incorporated,Diodes Incorporated DIO100000010 Diode,Diode,DIO100000010 Diode from Diodes Incorporated. Sourced via professional procurement support; specs below.,if_a: 1; vf_v: 0.7; vrrm_v: 100,https://example.com/datasheet/DIO100000010.pdf,4840,21.7656
Hanxin,HAN-1000-00011,LED100000011,Kingbright,Kingbright LED100000011 LED Components,LED Components,LED100000011 LED Components from Kingbright. Sourced via professional procurement support; specs below.,wavelength_nm: 650; forward_current_ma: 20; package: 0805; forward_voltage_v: 2.1; Luminous Intensity: 100mcd,https://example.com/datasheet/LED100000011.pdf,1600,17.2411
Mouser,MOU-1000-00012,MEM100000012,ISSI,ISSI MEM100000012 Memory IC,Memory IC,MEM100000012 Memory IC from ISSI. Sourced via professional procurement support; specs below.,organization: x8; memory_bytes: 16777216,https://example.com/datasheet/MEM100000012.pdf,932,18.3433
Digikey,DIG-1000-00013,XTAL100000013,OscInc,OscInc XTAL100000013 Crystal Oscillator,Crystal Oscillator,XTAL100000013 Crystal Oscillator from OscInc. Sourced via professional procurement support; specs below.,load_capacitance_pf: 18; package: SMD; frequency_hz: 8000000,https://example.com/datasheet/XTAL100000013.pdf,1858,24.5280
Hanxin,HAN-1000-00014,MCU100000014,Nuvoton Technology,Nuvoton Technology MCU100000014 Microcontroller,Microcontroller,MCU100000014 Microcontroller from Nuvoton Technology. Sourced via professional procurement support; specs below.,frequency_hz: 72000000; Operating Temp: -40~85,https://example.com/datasheet/MCU100000014.pdf,769,12.4797
Mouser,MOU-1000-00015,MOS100000015,HexaFab,HexaFab MOS100000015 MOSFET,MOSFET,MOS100000015 MOSFET from HexaFab. Sourced via professional procurement support; specs below.,On Resistance: 8mΩ; rds_on_mohm: 8; qg_nc: 45; package: SOT-23; Gate Charge Type: standard,https://example.com/datasheet/MOS100000015.pdf,479,21.0361
Digikey,DIG-1000-00016,RES100000016,OhmWorks,OhmWorks RES100000016 Resistor,Resistor,RES100000016 Resistor from OhmWorks. Sourced via professional procurement support; specs below.,resistance_ohm: 10000; package: 0805; tolerance: ±1%,https://example.com/datasheet/RES100000016.pdf,3691,19.0851
Mouser,MOU-1000-00017,CAP100000017,Murata Manufacturing,Murata Manufacturing CAP100000017 Capacitor,Capacitor,CAP100000017 Capacitor from Murata Manufacturing. Sourced via professional procurement support; specs below.,tolerance: ±10%; capacitance_pf: 100000,https://example.com/datasheet/CAP100000017.pdf,3914,9.1938
Digikey,DIG-1000-00018,IND100000018,Murata Manufacturing,Murata Manufacturing IND100000018 Inductor,Inductor,IND100000018 Inductor from Murata Manufacturing. Sourced via professional procurement support; specs below.,inductance_uh: 4.7; current_rating_a: 1.5; package: 0805; tolerance: ±20%,https://example.com/datasheet/IND100000018.pdf,4030,1.0992
