mpn,clean_mpn,manufacturer,brand,url_slug,category,subcategory,description,applications,keywords,attributes_json,availability,alternative_parts,datasheet_url,faq,image
MCU10000000,MCU10000000,AcmeSemi,AcmeSemi,mcu10000000,Microcontroller,Microcontroller,MCU10000000 Microcontroller from AcmeSemi. Sourced via professional procurement support; specs below.,,,"{""package"": ""LQFP-48"", ""io_count"": ""48""}",active,,https://example.com/datasheet/MCU10000000.pdf,,
MOS10000001,MOS10000001,ON Semiconductor,ON Semiconductor,mos10000001,MOSFET,MOSFET,MOS10000001 MOSFET from ON Semiconductor. Sourced via professional procurement support; specs below.,,,"{""vgs_th_v"": ""2.5"", ""qg_nc"": ""45"", ""vds_v"": ""55""}",active,,https://example.com/datasheet/MOS10000001.pdf,,
RES10000002,RES10000002,OhmWorks,OhmWorks,res10000002,Resistor,Resistor,RES10000002 Resistor from OhmWorks. Sourced via professional procurement support; specs below.,,,"{""power_rating_w"": ""0.25"", ""resistance_ohm"": ""10000"", ""temperature_coeff"": ""X7R""}",active,,https://example.com/datasheet/RES10000002.pdf,,
CAP10000003,CAP10000003,Murata Manufacturing,Murata Manufacturing,cap10000003,Capacitor,Capacitor,CAP10000003 Capacitor from Murata Manufacturing. Sourced via professional procurement support; specs below.,,,"{""voltage_rating_v"": ""50"", ""temperature_coeff"": ""X7R"", ""tolerance"": ""±10%"", ""package"": ""0603""}",active,,https://example.com/datasheet/CAP10000003.pdf,,
IND10000004,IND10000004,TDK Corporation,TDK Corporation,ind10000004,Inductor,Inductor,IND10000004 Inductor from TDK Corporation. Sourced via professional procurement support; specs below.,,,"{""current_rating_a"": ""1.5"", ""package"": ""0805""}",active,,https://example.com/datasheet/IND10000004.pdf,,
SEN10000005,SEN10000005,STMicroelectronics,STMicroelectronics,sen10000005,Sensors,Sensors,SEN10000005 Sensors from STMicroelectronics. Sourced via professional procurement support; specs below.,,,"{""sensitivity_dbm"": ""260 LSB/g"", ""range"": ""0-40"", ""resolution_bits"": ""12"", ""interface"": ""I2C""}",active,,https://example.com/datasheet/SEN10000005.pdf,,
CON10000006,CON10000006,TE Connectivity,TE Connectivity,con10000006,Connectors,Connectors,CON10000006 Connectors from TE Connectivity. Sourced via professional procurement support; specs below.,,,"{""current_rating_a"": ""3"", ""mounting"": ""SMD""}",active,,https://example.com/datasheet/CON10000006.pdf,,
MOD10000007,MOD10000007,Quectel,Quectel,mod10000007,Modules,Modules,MOD10000007 Modules from Quectel. Sourced via professional procurement support; specs below.,,,"{""interface"": ""UART"", ""sensitivity_dbm"": ""-95"", ""output_power_dbm"": ""20""}",active,,https://example.com/datasheet/MOD10000007.pdf,,
OPA10000008,OPA10000008,Silicon Labs,Silicon Labs,opa10000008,Analog IC,Analog IC,OPA10000008 Analog IC from Silicon Labs. Sourced via professional procurement support; specs below.,,,"{""package"": ""SOIC-8"", ""supply_current_ua"": ""200"", ""bandwidth_hz"": ""1000000"", ""gain_db"": ""100""}",active,,https://example.com/datasheet/OPA10000008.pdf,,
PMIC10000009,PMIC10000009,PowerLite,PowerLite,pmic10000009,Power Management IC,Power Management IC,PMIC10000009 Power Management IC from PowerLite. Sourced via professional procurement support; specs below.,,,"{""voltage_in_min_v"": ""4.5"", ""package"": ""SOT-23"", ""voltage_in_max_v"": ""28"", ""voltage_out_v"": ""5""}",active,,https://example.com/datasheet/PMIC10000009.pdf,,
