mpn,clean_mpn,manufacturer,brand,url_slug,category,subcategory,description,applications,keywords,attributes_json,availability,alternative_parts,datasheet_url,faq,image
MCU100000000,MCU100000000,STMicroelectronics,STMicroelectronics,mcu100000000,Microcontroller,Microcontroller,MCU100000000 Microcontroller from STMicroelectronics. Sourced via professional procurement support; specs below.,,,"{""flash_bytes"": ""131072"", ""voltage_v"": ""3.3"", ""frequency_hz"": ""72000000""}",active,,https://example.com/datasheet/MCU100000000.pdf,,
MOS100000001,MOS100000001,Vishay Intertechnology,Vishay Intertechnology,mos100000001,MOSFET,MOSFET,MOS100000001 MOSFET from Vishay Intertechnology. Sourced via professional procurement support; specs below.,,,"{""vds_v"": ""55"", ""id_a"": ""30A""}",active,,https://example.com/datasheet/MOS100000001.pdf,,
RES100000002,RES100000002,Yageo,Yageo,res100000002,Resistor,Resistor,RES100000002 Resistor from Yageo. Sourced via professional procurement support; specs below.,,,"{""resistance_ohm"": ""10000"", ""temperature_coeff"": ""X7R"", ""MTBF Hours"": ""100000""}",active,,https://example.com/datasheet/RES100000002.pdf,,
CAP100000003,CAP100000003,TDK Corporation,TDK Corporation,cap100000003,Capacitor,Capacitor,CAP100000003 Capacitor from TDK Corporation. Sourced via professional procurement support; specs below.,,,"{""voltage_rating_v"": ""50"", ""package"": ""0603"", ""capacitance_pf"": ""100000"", ""tolerance"": ""±10%"", ""Ripple Current"": ""100mA""}",active,,https://example.com/datasheet/CAP100000003.pdf,,
IND100000004,IND100000004,Bourns,Bourns,ind100000004,Inductor,Inductor,IND100000004 Inductor from Bourns. Sourced via professional procurement support; specs below.,,,"{""current_rating_a"": ""1.5"", ""inductance_uh"": ""4.7""}",active,,https://example.com/datasheet/IND100000004.pdf,,
SEN100000005,SEN100000005,STMicroelectronics,STMicroelectronics,sen100000005,Sensors,Sensors,SEN100000005 Sensors from STMicroelectronics. Sourced via professional procurement support; specs below.,,,"{""sensitivity_dbm"": ""260 LSB/g"", ""accuracy"": ""±0.5"", ""range"": ""0-40"", ""resolution_bits"": ""12"", ""interface"": ""I2C""}",active,,https://example.com/datasheet/SEN100000005.pdf,,
CON100000006,CON100000006,TE Connectivity,TE Connectivity,con100000006,Connectors,Connectors,CON100000006 Connectors from TE Connectivity. Sourced via professional procurement support; specs below.,,,"{""current_rating_a"": ""3"", ""pitch_mm"": ""2.54"", ""voltage_rating_v"": ""50"", ""positions"": ""40""}",active,,https://example.com/datasheet/CON100000006.pdf,,
MOD100000007,MOD100000007,u-blox,u-blox,mod100000007,Modules,Modules,MOD100000007 Modules from u-blox. Sourced via professional procurement support; specs below.,,,"{""data_rate_bps"": ""2000000"", ""sensitivity_dbm"": ""-95"", ""interface"": ""UART"", ""Antenna Type"": ""PCB""}",active,,https://example.com/datasheet/MOD100000007.pdf,,
OPA100000008,OPA100000008,Analog Devices,Analog Devices,opa100000008,Analog IC,Analog IC,OPA100000008 Analog IC from Analog Devices. Sourced via professional procurement support; specs below.,,,"{""gain_db"": ""100"", ""supply_current_ua"": ""200""}",active,,https://example.com/datasheet/OPA100000008.pdf,,
PMIC100000009,PMIC100000009,Richtek Technology,Richtek Technology,pmic100000009,Power Management IC,Power Management IC,PMIC100000009 Power Management IC from Richtek Technology. Sourced via professional procurement support; specs below.,,,"{""output_current_a"": ""3"", ""voltage_in_max_v"": ""28"", ""efficiency_percent"": ""92"", ""voltage_in_min_v"": ""4.5"", ""package"": ""SOT-23""}",active,,https://example.com/datasheet/PMIC100000009.pdf,,
DIO100000010,DIO100000010,Diodes Incorporated,Diodes Incorporated,dio100000010,Diode,Diode,DIO100000010 Diode from Diodes Incorporated. Sourced via professional procurement support; specs below.,,,"{""if_a"": ""1"", ""vf_v"": ""0.7"", ""vrrm_v"": ""100""}",active,,https://example.com/datasheet/DIO100000010.pdf,,
